tx_id,timestamp,direction,peer_address,amount_sompi,cex_label
6124be9275bd2a69f89647893b27dda3f9f4ab06b16e1ddbb8312c173b5fdca5,2025-03-17T01:46:11.695000,sent,kaspa:qpjunp39ssazf4rzfxxu0hd35xggfxn6lq0ls9u9q6peevzcmcv4xmv9q4njd,667690975547,
c9889c00b34c84aece0075be11bd913f75d35f58aa74edbe42fa83f2298ef188,2025-03-16T21:32:34.612000,sent,kaspa:qpzpfwcsqsxhxwup26r55fd0ghqlhyugz8cp6y3wxuddc02vcxtjg75pspnwz,10000000000000,MEXC
c9889c00b34c84aece0075be11bd913f75d35f58aa74edbe42fa83f2298ef188,2025-03-16T21:32:34.612000,sent,kaspa:qpjunp39ssazf4rzfxxu0hd35xggfxn6lq0ls9u9q6peevzcmcv4xmv9q4njd,648794892917,
c9889c00b34c84aece0075be11bd913f75d35f58aa74edbe42fa83f2298ef188,2025-03-16T21:32:34.612000,sent,kaspa:qpzpfwcsqsxhxwup26r55fd0ghqlhyugz8cp6y3wxuddc02vcxtjg75pspnwz,10000000000000,MEXC
c9889c00b34c84aece0075be11bd913f75d35f58aa74edbe42fa83f2298ef188,2025-03-16T21:32:34.612000,sent,kaspa:qpjunp39ssazf4rzfxxu0hd35xggfxn6lq0ls9u9q6peevzcmcv4xmv9q4njd,648794892917,
e99f852f51696f957b1bacb6f6db5b91d0b146961c28808bb4023ca4af7205aa,2025-03-16T18:41:44.711000,received,kaspa:qruv6q05ql7hdgwsj56degzeu7c7s536jed7898l47wnz5njwteyjhz4fmfcy,698100000000,
53a2583972c19c5cafe034209a8194feb033f042ab95f18f90683757f5004fed,2025-03-16T18:40:36.899000,received,kaspa:qpy9qnhg7ezqwnewmuks5jqptn0ttu5uzr7z3elug4kz29fdmjkt6ny8wnv28,2296500000000,
53a2583972c19c5cafe034209a8194feb033f042ab95f18f90683757f5004fed,2025-03-16T18:40:36.899000,received,kaspa:qzr898t5aue4e5s5zqqgak7el3e96szrmhgcmj8huzx6j6q58yr0wttae0d8a,2296500000000,
53a2583972c19c5cafe034209a8194feb033f042ab95f18f90683757f5004fed,2025-03-16T18:40:36.899000,received,kaspa:qrrlenrn2lh8sq0lyzpvmvxrdsj9r5zu2rr2ys536fm8rx743xzpcsu7c7xgv,2296500000000,
53a2583972c19c5cafe034209a8194feb033f042ab95f18f90683757f5004fed,2025-03-16T18:40:36.899000,received,kaspa:qptq32xd0mjz3ckaz3paajg9vxqlpmhthfxwl7skg29s7h4c84387feuph9fd,2296500000000,
53a2583972c19c5cafe034209a8194feb033f042ab95f18f90683757f5004fed,2025-03-16T18:40:36.899000,received,kaspa:qp9v2f8624grrl6s0r6fkf5m0fdwt7swcn5q8egvv48gnl07r55pcwqy7kkmj,2296500000000,
1c7cf02a486148cab04d573acd0afa94dae858cd34138a978a4ee1b2ce4acd3f,2025-03-16T18:31:27.219000,received,kaspa:qzh0cf8s2lzryxssxq2z7dntmkl6ma0c4ys7tz5p4slxardzgac6x5pxje5yd,10000000000,
9074101bf2c79b31203f8c2d6199283ffe3761eccefa466185b8abaa2296e5d1,2024-06-18T11:49:52.348000,sent,kaspa:qpzpfwcsqsxhxwup26r55fd0ghqlhyugz8cp6y3wxuddc02vcxtjg75pspnwz,2000000000000,MEXC
9074101bf2c79b31203f8c2d6199283ffe3761eccefa466185b8abaa2296e5d1,2024-06-18T11:49:52.348000,sent,kaspa:qpjunp39ssazf4rzfxxu0hd35xggfxn6lq0ls9u9q6peevzcmcv4xmv9q4njd,20003741531411472,
7f1c1f1d096fe78287388350c025b284895b147eb9b7ebe8814228dae95b9487,2024-06-18T11:47:24.971000,received,kaspa:qraxawjqkyq08us3qhqj0s6y3pd9zn9v3mjt5s3uh5yt0nlngcydkv5f447vj,480000000000,
7f1c1f1d096fe78287388350c025b284895b147eb9b7ebe8814228dae95b9487,2024-06-18T11:47:24.971000,received,kaspa:qqrngtq3la69wvt5jzs8vzgzh30az4jksu8mrggx4d50r6pmupggsqlvz0vrh,480000000000,
7f1c1f1d096fe78287388350c025b284895b147eb9b7ebe8814228dae95b9487,2024-06-18T11:47:24.971000,received,kaspa:qq2rm6mn9vfrq8s7enaveq839m3ppaau4fkvywuudp8jyk2gl52rx97kpn4et,480000000000,
